2016-06-17_05:47:15 1466135235 0x5; 83 rTX 2
2016-06-17_05:47:15 1466135235 0x5; 83 rTX 3
2016-06-17_05:47:15 1466135235 0x5; 83 rTX 4
2016-06-17_05:47:16 1466135236 0x5; 83 rTX 5
2016-06-17_05:47:16 1466135236 0x5; 83 rTX 6
2016-06-17_05:47:17 1466135237 0x5; 83 rTX 7
2016-06-17_05:47:19 1466135239 0x5; 83 rTX 8
2016-06-17_05:47:22 1466135242 0x5; 83 rTX 9
2016-06-17_05:47:27 1466135247 0x5; 83 rTX 10
2016-06-17_05:47:39 1466135259 0x5; 83 rTXERR
2016-06-17_05:49:12 1466135352 0x2; 84 rTX 0
2016-06-17_05:49:15 1466135355 0x5; 84 rTX 0
2016-06-17_05:49:15 1466135355 0x5; 84 rTX 1
2016-06-17_05:49:15 1466135355 0x5; 84 rTX 2
2016-06-17_05:49:15 1466135355 0x5; 84 rTX 3
2016-06-17_05:49:15 1466135355 0x5; 84 rTX 4
2016-06-17_05:49:16 1466135356 0x5; 84 rTX 5
2016-06-17_05:49:16 1466135356 0x5; 84 rTX 6
2016-06-17_05:49:17 1466135357 0x5; 84 rTX 7
2016-06-17_05:49:18 1466135358 0x5; 84 rTX 8
2016-06-17_05:49:22 1466135362 0x5; 84 rTX 9
2016-06-17_05:49:28 1466135368 0x5; 84 rTX 10
2016-06-17_05:49:41 1466135381 0x5; 84 rTXERR
2016-06-17_05:51:15 1466135475 0x5; 85 rTX 0
2016-06-17_05:51:15 1466135475 0x5; 85 rTX 1
2016-06-17_05:51:15 1466135475 0x5; 85 rTX 2
2016-06-17_05:51:15 1466135475 0x5; 85 rTX 3
2016-06-17_05:51:15 1466135475 0x5; 85 rTX 4
2016-06-17_05:51:16 1466135476 0x5; 85 rTX 5
2016-06-17_05:51:16 1466135476 0x5; 85 rTX 6
2016-06-17_05:51:17 1466135477 0x5; 85 rTX 7
2016-06-17_05:51:19 1466135479 0x5; 85 rTX 8
2016-06-17_05:51:21 1466135481 0x5; 85 rTX 9
2016-06-17_05:51:27 1466135487 0x5; 85 rTX 10
2016-06-17_05:51:41 1466135501 0x5; 85 rTXERR
