2016-04-25_04:30:27 1461551427 0x9, 5 54 1.67 2.24 2.03
2016-04-25_04:30:28 1461551428 0x9, 6 54 1.67 2.59 3.09
2016-04-25_04:30:48 1461551448 0x9, A 53 1.67 1.91 0.94
2016-04-25_04:32:23 1461551543 0x9, 1 55 1.52 1.88 1.50
2016-04-25_04:32:24 1461551544 0x9, 2 55 1.52 2.24 2.74
2016-04-25_04:32:27 1461551547 0x9, 5 55 2.03 1.96-0.28
2016-04-25_04:32:28 1461551548 0x9, 6 55 1.76 2.07 1.18
2016-04-25_04:32:48 1461551568 0x9, A 54 2.03 2.19 0.53
2016-04-25_04:34:23 1461551663 0x9, 1 56 1.88 2.11 0.85
2016-04-25_04:34:24 1461551664 0x9, 2 56 1.91 2.79 2.67
2016-04-25_04:34:27 1461551667 0x9, 5 56 2.07 2.20 0.39
2016-04-25_04:34:28 1461551668 0x9, 6 56 1.84 1.79-0.15
2016-04-25_04:34:48 1461551688 0x9, A 55 1.76 2.12 1.31
2016-04-25_04:36:23 1461551783 0x9, 1 57 2.55 2.55 0.00
2016-04-25_04:36:24 1461551784 0x9, 2 57 1.24 2.35 4.55
2016-04-25_04:36:27 1461551787 0x9, 5 57 1.88 2.07 0.71
2016-04-25_04:36:28 1461551788 0x9, 6 57 1.76 2.40 2.19
2016-04-25_04:36:48 1461551808 0x9, A 56 2.16 2.15-0.00
2016-04-25_04:38:23 1461551903 0x9, 1 58 1.24 2.24 4.18
2016-04-25_04:38:24 1461551904 0x9, 2 58 1.76 2.35 2.07
2016-04-25_04:38:27 1461551907 0x9, 5 58 1.96 2.35 1.31
2016-04-25_04:38:28 1461551908 0x9, 6 58 1.88 2.40 1.72
2016-04-25_04:38:48 1461551928 0x9, A 57 1.96 1.95-0.00
2016-04-25_04:40:48 1461552048 0x9, A 58 1.79 1.79-0.00
2016-04-25_04:42:48 1461552168 0x9, A 59 1.84 2.51 2.22
2016-04-25_04:44:48 1461552288 0x9, A 60 1.67 2.19 1.90
2016-04-25_04:46:21 1461552381 0x9, 1 62 1.60 2.24 2.38
2016-04-25_04:46:22 1461552382 0x9, 2 62 1.76 1.91 0.61
