2016-05-04_14:07:15 1462363635 0x7; 339 rTXERR
2016-05-04_14:07:19 1462363639 0x8; 339 rTXERR
2016-05-04_14:08:49 1462363729 0x3; 340 rTX 0
2016-05-04_14:08:49 1462363729 0x3; 340 rTX 1
2016-05-04_14:08:49 1462363729 0x3; 340 rTX 2
2016-05-04_14:08:49 1462363729 0x3; 340 rTX 3
2016-05-04_14:08:49 1462363729 0x3; 340 rTX 4
2016-05-04_14:08:49 1462363729 0x3; 340 rTX 5
2016-05-04_14:08:50 1462363730 0x3; 340 rTX 6
2016-05-04_14:08:50 1462363730 0x4; 340 rTX 0
2016-05-04_14:08:50 1462363730 0x4; 340 rTX 1
2016-05-04_14:08:50 1462363730 0x4; 340 rTX 2
2016-05-04_14:08:50 1462363730 0x4; 340 rTX 3
2016-05-04_14:08:50 1462363730 0x4; 340 rTX 4
2016-05-04_14:08:50 1462363730 0x4; 340 rTX 5
2016-05-04_14:08:50 1462363730 0x3; 340 rTX 7
2016-05-04_14:08:51 1462363731 0x4; 340 rTX 6
2016-05-04_14:08:51 1462363731 0x4; 340 rTX 7
2016-05-04_14:08:52 1462363732 0x3; 340 rTX 8
2016-05-04_14:08:53 1462363733 0x7; 340 rTX 0
2016-05-04_14:08:53 1462363733 0x7; 340 rTX 1
2016-05-04_14:08:53 1462363733 0x7; 340 rTX 2
2016-05-04_14:08:53 1462363733 0x7; 340 rTX 3
2016-05-04_14:08:53 1462363733 0x7; 340 rTX 4
2016-05-04_14:08:53 1462363733 0x4; 340 rTX 8
2016-05-04_14:08:53 1462363733 0x7; 340 rTX 5
2016-05-04_14:08:54 1462363734 0x7; 340 rTX 6
2016-05-04_14:08:54 1462363734 0x8; 340 rTX 0
2016-05-04_14:08:54 1462363734 0x8; 340 rTX 1
2016-05-04_14:08:54 1462363734 0x8; 340 rTX 2
2016-05-04_14:08:54 1462363734 0x8; 340 rTX 3
2016-05-04_14:08:54 1462363734 0x8; 340 rTX 4
