2016-04-24_04:46:14 1461465974 0x6 0; BOOT
2016-04-24_05:49:13 1461469753 0x6 234;fd,fd,fe,ff,fe,ff,fe,fe,ff,fe,ff,fe,fe,ff,ff,ff,ff,ff,ff,ff,fd,100,fe,100,100-151a,4a4-0:f6/6b;0:f1/6c;0:0/0;0:0/0;0:2/6a;0:0/0;0:0/0;0:0/0;0x6; 235 rTX 4
2016-04-24_05:51:12 1461469872 0x6 235;133,131,131,133,12e,130,131,131,12f,12c,12f,12d,12e,12c,12e,128,131,12e,12c,12e,12e,131,12d,12e,12a-14fe,4aa-0:f7/6b;0:f0/6c;0:0/0;0:0/0;0:2/6b;0:0/0;0:0/0;0:0/0;0:d8/69;0:0/0
2016-04-24_06:06:13 1461470773 0x6 243;9,e7,e8,e8,e8,e8,e8,e9,e7,e80:2/6b;0:0/0;0:0/0;0:0/0;0:d0x6; 244 rTX 8
2016-04-24_06:10:12 1461471012 0x6 245;9,79,79,79,77,79,79,79,79,7b0:2/6b;0:0/0;0:0/0;0:0/0;0:d0x6; 246 rTX 7
2016-04-24_06:27:13 1461472033 0x6 253;2c4,2cc,2ce,2d3,2d5,2ce,2ce,2d0,2d5,2d7,2d5,2cf,2cb,2c8,2cc,2d5,2da,2d9,2d6,2d7,2d4,2d4,2d8,2d6,2d4-1482,4e0-1:f7/6b;1:f0/6b;0:0/0;0:0/0;0:20x6; 254 rTX 6
2016-04-24_06:33:12 1461472392 0x6 256;24f,250,252,253,24f,251,252,6/6b;1:f1/6b;0:0/0;0:0/0;0:20x6; 257 rTX 6
2016-04-24_06:42:12 1461472932 0x6 0;369,36b,363,363,367,368,363,/0;0:0/0;0:0/0;0:0/0;0:0/0;00x6; 1 rTX 7
2016-04-24_06:46:12 1461473172 0x6 263;132,12e,12d,12e,12d,12d,12e,3/6b;1:f0/6c;0:0/0;0:0/0;0:20x6; 264 rTX 7
2016-04-24_07:05:12 1461474312 0x6 273;2fe,300,2fd,2fd,2fe,2ff,2fd,2fd,2fe,2fe,2fd,2fd,2fe,2fa,2ff,2ff,2fe,2fc,303,2ff,2fe,2fe,2ff,2ff,305-1526,4c9-1:f7/6c;0:f0/6a;0:0/0;0:0/0;0:2/6a;0:0/0;0:0/0;0:0/0;0:d9/69;0:0/0
