2016-06-05_08:40:43 1465108843 0xB, 9 167 1161.64 1112.43-0.30
2016-06-05_08:42:20 1465108940 0xB, A 166 1142.31 1113.44-0.18
2016-06-05_08:42:43 1465108963 0xB, 9 168 1161.92 1112.43-0.30
2016-06-05_08:44:20 1465109060 0xB, A 167 1139.23 1110.65-0.17
2016-06-05_08:44:43 1465109083 0xB, 9 169 1159.00 1109.71-0.30
2016-06-05_08:46:20 1465109180 0xB, A 168 1136.92 1106.81-0.19
2016-06-05_08:46:43 1465109203 0xB, 9 170 1156.04 1105.80-0.31
2016-06-05_08:48:20 1465109300 0xB, A 169 1134.59 1103.28-0.19
2016-06-05_08:50:20 1465109420 0xB, A 170 1133.64 1101.75-0.20
2016-06-05_08:50:43 1465109443 0xB, 9 172 1149.64 1101.80-0.30
2016-06-05_08:52:20 1465109540 0xB, A 171 1131.47 1100.87-0.19
2016-06-05_08:52:43 1465109563 0xB, 9 173 1150.47 1100.07-0.31
2016-06-05_08:54:20 1465109660 0xB, A 172 1129.07 1099.37-0.18
2016-06-05_08:54:43 1465109683 0xB, 9 174 1153.07 1099.31-0.33
2016-06-05_08:56:20 1465109780 0xB, A 173 1126.47 1098.09-0.18
2016-06-05_08:56:43 1465109803 0xB, 9 175 1151.35 1097.16-0.34
2016-06-05_08:58:20 1465109900 0xB, A 174 1122.56 1095.37-0.17
2016-06-05_08:58:43 1465109923 0xB, 9 176 1149.23 1095.07-0.34
2016-06-05_09:00:20 1465110020 0xB, A 175 1120.76 1091.75-0.18
2016-06-05_09:02:20 1465110140 0xB, A 176 1121.11 1094.34-0.17
2016-06-05_09:02:43 1465110163 0xB, 9 178 1139.64 1094.11-0.28
2016-06-05_09:04:20 1465110260 0xB, A 177 1117.76 1091.62-0.16
2016-06-05_09:04:43 1465110283 0xB, 9 179 1136.00 1091.47-0.28
2016-06-05_09:06:20 1465110380 0xB, A 178 1119.23 1093.62-0.16
2016-06-05_09:06:43 1465110403 0xB, 9 180 1132.56 1093.52-0.24
2016-06-05_09:08:20 1465110500 0xB, A 179 1120.71 1095.28-0.16
2016-06-05_09:08:43 1465110523 0xB, 9 181 1131.35 1095.28-0.22
2016-06-05_09:10:20 1465110620 0xB, A 180 1123.64 1097.34-0.16
2016-06-05_09:10:43 1465110643 0xB, 9 182 1134.43 1097.95-0.23
2016-06-05_09:12:43 1465110763 0xB, 9 183 1138.59 1104.04-0.21
2016-06-05_09:14:43 1465110883 0xB, 9 184 1141.00 1106.31-0.21
2016-06-05_09:14:44 1465110884 0xB, A 184 1131.11 1106.31-0.15
2016-06-05_09:16:43 1465111003 0xB, 9 185 1146.19 1108.00-0.24
2016-06-05_09:16:44 1465111004 0xB, A 185 1134.00 1107.75-0.16
2016-06-05_09:18:43 1465111123 0xB, 9 186 1148.00 1108.00-0.25
2016-06-05_09:18:44 1465111124 0xB, A 186 1134.64 1108.37-0.16
2016-06-05_09:20:43 1465111243 0xB, 9 187 1151.68 1108.52-0.27
2016-06-05_09:20:44 1465111244 0xB, A 187 1135.68 1108.53-0.17
2016-06-05_09:22:44 1465111364 0xB, A 188 1133.56 1107.62-0.16
2016-06-05_09:24:43 1465111483 0xB, 9 189 1149.35 1106.11-0.27
2016-06-05_09:24:44 1465111484 0xB, A 189 1132.35 1106.06-0.16
2016-06-05_09:26:44 1465111604 0xB, A 190 1129.88 1103.50-0.16
2016-06-05_09:28:43 1465111723 0xB, 9 191 1151.92 1100.40-0.32
2016-06-05_09:28:44 1465111724 0xB, A 191 1126.19 1100.28-0.16
2016-06-05_09:30:43 1465111843 0xB, 9 192 1157.04 1099.64-0.36
2016-06-05_09:30:44 1465111844 0xB, A 192 1126.00 1099.31-0.16
2016-06-05_09:32:43 1465111963 0xB, 9 193 1157.68 1102.04-0.34
2016-06-05_09:32:44 1465111964 0xB, A 193 1127.83 1101.94-0.16
2016-06-05_09:34:43 1465112083 0xB, 9 194 1155.11 1105.64-0.31
2016-06-05_09:34:44 1465112084 0xB, A 194 1130.88 1104.62-0.16
2016-06-05_09:36:43 1465112203 0xB, 9 195 1150.35 1106.59-0.27
2016-06-05_09:36:44 1465112204 0xB, A 195 1130.23 1106.87-0.14
2016-06-05_09:38:43 1465112323 0xB, 9 196 1144.71 1106.23-0.24
2016-06-05_09:38:44 1465112324 0xB, A 196 1130.40 1107.37-0.14
2016-06-05_09:40:44 1465112444 0xB, A 197 1132.35 1108.65-0.14
2016-06-05_09:42:44 1465112564 0xB, A 198 1132.88 1110.00-0.14
