2016-05-04_03:26:03 1462325163 0x1; 98 rTX 0
2016-05-04_03:26:03 1462325163 0x1; 98 rTX 1
2016-05-04_03:26:03 1462325163 0x1; 98 rTX 2
2016-05-04_03:26:03 1462325163 0x1; 98 rTX 3
2016-05-04_03:26:07 1462325167 0x5; 98 rTX 0
2016-05-04_03:26:07 1462325167 0x5; 98 rTX 1
2016-05-04_03:26:07 1462325167 0x5; 98 rTX 2
2016-05-04_03:26:07 1462325167 0x5; 98 rTX 3
2016-05-04_03:26:08 1462325168 0x6; 98 rTX 0
2016-05-04_03:26:08 1462325168 0x6; 98 rTX 1
2016-05-04_03:28:03 1462325283 0x1; 99 rTX 0
2016-05-04_03:28:03 1462325283 0x1; 99 rTX 1
2016-05-04_03:28:03 1462325283 0x1; 99 rTX 2
2016-05-04_03:28:07 1462325287 0x5; 99 rTX 0
2016-05-04_03:28:07 1462325287 0x5; 99 rTX 1
2016-05-04_03:28:07 1462325287 0x5; 99 rTX 2
2016-05-04_03:32:07 1462325527 0x5; 101 rTX 0
2016-05-04_03:36:03 1462325763 0x1; 103 rTX 0
2016-05-04_03:36:03 1462325763 0x1; 103 rTX 1
2016-05-04_03:36:03 1462325763 0x1; 103 rTX 2
2016-05-04_03:36:03 1462325763 0x1; 103 rTX 3
2016-05-04_03:36:03 1462325763 0x1; 103 rTX 4
2016-05-04_03:36:03 1462325763 0x1; 103 rTX 5
2016-05-04_03:38:03 1462325884 0x2; 104 rTX 0
2016-05-04_03:38:04 1462325884 0x2; 104 rTX 1
2016-05-04_03:38:04 1462325884 0x2; 104 rTX 2
2016-05-04_03:38:04 1462325884 0x2; 104 rTX 3
2016-05-04_03:38:08 1462325888 0x6; 104 rTX 0
2016-05-04_03:38:08 1462325888 0x6; 104 rTX 1
2016-05-04_03:38:08 1462325888 0x6; 104 rTX 2
2016-05-04_03:38:08 1462325888 0x6; 104 rTX 3
2016-05-04_03:40:03 1462326003 0x1; 105 rTX 0
2016-05-04_03:40:03 1462326003 0x1; 105 rTX 1
