2016-05-08_06:39:03 1462682343 0xB, A 117 400.32 363.27-0.68
2016-05-08_06:39:36 1462682376 0xB, 9 119 746.32 365.76-5.05
2016-05-08_06:41:03 1462682463 0xB, A 118 413.16 373.51-0.71
2016-05-08_06:41:36 1462682496 0xB, 9 120 782.88 376.79-5.17
2016-05-08_06:43:03 1462682583 0xB, A 119 424.55 384.36-0.70
2016-05-08_06:43:36 1462682616 0xB, 9 121 818.28 387.20-5.29
2016-05-08_06:45:03 1462682703 0xB, A 120 435.76 395.71-0.68
2016-05-08_06:45:36 1462682736 0xB, 9 122 854.47 398.44-5.40
2016-05-08_06:47:04 1462682824 0xB, A 121 446.27 404.39-0.69
2016-05-08_06:47:36 1462682856 0xB, 9 123 887.64 406.88-5.52
2016-05-08_06:49:03 1462682943 0xB, A 122 460.04 416.27-0.70
2016-05-08_06:49:36 1462682976 0xB, 9 124 919.91 419.44-5.56
2016-05-08_06:51:03 1462683063 0xB, A 123 480.00 432.00-0.74
2016-05-08_06:51:36 1462683096 0xB, 9 125 948.23 439.88-5.43
2016-05-08_06:53:03 1462683183 0xB, A 124 507.76 453.11-0.80
2016-05-08_06:53:36 1462683216 0xB, 9 126 978.64 449.44-5.51
2016-05-08_06:55:03 1462683303 0xB, A 125 494.83 446.36-0.73
2016-05-08_06:55:36 1462683336 0xB, 9 127 1010.08 456.64-5.62
2016-05-08_06:57:03 1462683423 0xB, A 126 560.76 486.71-1.00
2016-05-08_06:57:36 1462683456 0xB, 9 128 1045.76 480.79-5.50
2016-05-08_06:59:03 1462683543 0xB, A 127 514.35 468.19-0.66
2016-05-08_06:59:36 1462683576 0xB, 9 129 1078.56 467.00-5.92
2016-05-08_07:01:03 1462683663 0xB, A 128 546.96 499.32-0.64
2016-05-08_07:01:36 1462683696 0xB, 9 130 1080.28 520.28-5.17
2016-05-08_07:03:03 1462683783 0xB, A 129 574.20 505.00-0.90
2016-05-08_07:03:36 1462683816 0xB, 9 131 1082.88 493.92-5.55
2016-05-08_07:05:03 1462683903 0xB, A 130 625.84 569.23-0.67
2016-05-08_07:05:36 1462683936 0xB, 9 132 1093.07 594.08-4.31
2016-05-08_07:07:03 1462684023 0xB, A 131 707.40 577.64-1.43
2016-05-08_07:07:36 1462684056 0xB, 9 133 1104.92 570.08-4.68
2016-05-08_07:09:03 1462684143 0xB, A 132 567.59 508.91-0.77
2016-05-08_07:09:36 1462684176 0xB, 9 134 1113.07 504.64-5.60
2016-05-08_07:11:03 1462684263 0xB, A 133 565.55 511.75-0.70
2016-05-08_07:11:36 1462684296 0xB, 9 135 1120.52 520.52-5.42
