2016-04-13_20:42:50 1460572970 0x9 72;4,2,2,0,3,0,1,3,3,5,2,2,1,2,2,3,1,5,2,3,2,3,2,2,3-156a,a58-0:da/6a;0:df/6b;0:0/0;0:0/0;0:d8/68;0:de/6b;0:0/0;0:0/0;0:0/0;0:db/6b
2016-04-13_20:44:50 1460573090 0x9 73;0,3,1,2,2,c,b,b,3,3,0,2,3,2,3,0,2,4,3,3,2,2,2,b,2-1568,a56-0:da/6b;0:df/66;0:0/0;0:0/0;0:d8/67;0:de/6c;0:0/0;0:0/0;0:0/0;0:db/6b
2016-04-13_20:46:50 1460573210 0x9 74;3,1,2,0,2,2,2,2,4,3,3,3,4,3,0,5,2,2,2,3,2,1,4,0,3-1567,a54-0:da/6a;0:df/6b;0:0/0;0:0/0;0:d8/66;0:dd/6c;0:0/0;0:0/0;0:0/0;0:db/6a
2016-04-13_20:48:50 1460573330 0x9 75;1,2,2,3,2,3,0,2,2,2,b,1,9,3,0,1,1,2,1,3,2,2,4,2,3-1565,a53-0:da/6a;0:df/6b;0:0/0;0:0/0;0:d8/69;0:de/6a;0:0/0;0:0/0;0:0/0;0:db/6a
2016-04-13_20:50:51 1460573451 0x9 76;2,3,0,5,4,2,2,6,6,2,2,1,1,2,0,4,5,2,2,2,3,4,2,3,1-1564,a53-0:da/6a;0:de/6c;0:0/0;0:0/0;0:d8/68;0:dd/6b;0:0/0;0:0/0;0:0/0;0:db/6a
2016-04-13_20:52:51 1460573571 0x9 77;5,2,0,3,3,2,2,0,2,2,4,0,1,2,3,2,2,2,3,0,2,3,0,2,3-1564,a51-0:da/69;0:df/67;0:0/0;0:0/0;0:d8/68;0:de/6b;0:0/0;0:0/0;0:0/0;0:db/69
2016-04-13_20:54:51 1460573691 0x9 78;2,3,7,2,a,2,4,0,3,1,2,1,3,2,3,2,1,2,0,3,0,3,2,a,3-1562,a50-0:da/6b;0:df/6b;0:0/0;0:0/0;0:d8/6a;0:dd/6c;0:0/0;0:0/0;0:0/0;0:db/6a
2016-04-13_20:56:51 1460573811 0x9 79;5,2,2,4,0,5,3,0,2,2,1,2,2,1,2,0,2,2,2,1,1,2,2,2,2-155e,a4e-0:da/6a;0:e0/6a;0:0/0;0:0/0;0:d8/6a;0:de/6b;0:0/0;0:0/0;0:0/0;0:db/6a
2016-04-13_20:58:51 1460573931 0x9 80;2,3,2,0,2,1,2,3,3,0,2,3,2,0,2,0,2,1,2,3,3,1,1,6,3-155c,a4d-0:da/6b;0:de/6b;0:0/0;0:0/0;0:d8/6b;0:de/6c;0:0/0;0:0/0;0:0/0;0:db/69
2016-04-13_21:00:51 1460574051 0x9 81;2,2,2,3,3,3,1,1,0,2,2,2,1,2,2,2,2,3,2,4,2,2,0,2,1-155a,a4d-0:db/69;0:df/6b;0:0/0;0:0/0;0:d7/68;0:de/6b;0:0/0;0:0/0;0:0/0;0:db/6b
2016-04-13_21:02:51 1460574171 0x9 82;3,2,4,2,3,3,3,1,2,1,3,2,2,4,0,2,3,2,2,2,2,2,0,2,2-1557,a4b-0:da/69;0:df/6a;0:0/0;0:0/0;0:d8/67;0:de/6c;0:0/0;0:0/0;0:0/0;0:db/6a
2016-04-13_21:04:51 1460574291 0x9 83;0,1,1,0,1,2,1,2,2,2,1,2,2,0,1,1,2,3,2,2,2,2,0,2,2-1555,a4a-0:da/6a;0:df/69;0:0/0;0:0/0;0:d8/64;0:dd/6c;0:0/0;0:0/0;0:0/0;0:db/68
2016-04-13_21:06:51 1460574411 0x9 84;2,2,2,0,2,2,2,2,2,1,0,0,2,2,2,2,2,3,2,2,2,3,2,7,2-1552,a49-0:db/6b;0:df/68;0:0/0;0:0/0;0:d8/6a;0:dd/6b;0:0/0;0:0/0;0:0/0;0:db/6b
2016-04-13_21:08:51 1460574531 0x9 85;2,1,2,2,1,3,3,3,2,2,3,2,1,0,3,2,2,2,0,1,3,2,2,1,2-1551,a49-0:da/68;0:de/6b;0:0/0;0:0/0;0:d8/69;0:dd/6a;0:0/0;0:0/0;0:0/0;0:db/6a
2016-04-13_21:10:51 1460574651 0x9 86;0,3,2,5,3,2,1,5,3,1,1,2,4,7,0,4,3,1,2,2,2,3,3,5,1-154f,a48-0:db/6a;0:df/6a;0:0/0;0:0/0;0:d8/69;0:de/6b;0:0/0;0:0/0;0:0/0;0:db/6b
2016-04-13_21:12:51 1460574771 0x9 87;0,3,1,2,2,1,2,2,3,0,3,2,7,0,2,3,0,3,1,2,2,2,2,1,2-154b,a47-0:d9/61;0:df/6c;0:0/0;0:0/0;0:d8/68;0:de/6c;0:0/0;0:0/0;0:0/0;0:db/6a
