2016-04-23_04:32:22 1461378742 0x9, 6 55 1.96 2.00 0.14
2016-04-23_04:32:58 1461378778 0x9, A 54 1.88 2.03 0.57
2016-04-23_04:34:17 1461378857 0x9, 1 56 1.79 2.55 2.49
2016-04-23_04:34:18 1461378858 0x9, 2 56 1.64 2.31 2.45
2016-04-23_04:34:21 1461378861 0x9, 5 56 1.91 2.20 0.96
2016-04-23_04:34:22 1461378862 0x9, 6 56 2.03 2.16 0.40
2016-04-23_04:34:58 1461378898 0x9, A 55 1.72 2.27 1.99
2016-04-23_04:36:17 1461378977 0x9, 1 57 1.84 2.03 0.73
2016-04-23_04:36:18 1461378978 0x9, 2 57 1.39 2.00 2.52
2016-04-23_04:36:21 1461378981 0x9, 5 57 1.72 1.52-0.87
2016-04-23_04:36:22 1461378982 0x9, 6 57 1.84 1.72-0.47
2016-04-23_04:36:58 1461379018 0x9, A 56 2.64 2.12-1.55
2016-04-23_04:38:17 1461379097 0x9, 1 58 1.64 2.16 1.95
2016-04-23_04:38:18 1461379098 0x9, 2 58 2.07 2.72 1.89
2016-04-23_04:38:21 1461379101 0x9, 5 58 2.16 2.27 0.38
2016-04-23_04:38:22 1461379102 0x9, 6 58 1.76 2.55 2.65
2016-04-23_04:38:58 1461379138 0x9, A 57 2.00 1.95-0.14
2016-04-23_04:40:17 1461379217 0x9, 1 59 1.67 2.11 1.64
2016-04-23_04:40:18 1461379218 0x9, 2 59 1.84 3.00 3.46
2016-04-23_04:40:21 1461379221 0x9, 5 59 1.91 2.59 2.14
2016-04-23_04:40:22 1461379222 0x9, 6 59 2.16 2.31 0.50
2016-04-23_04:40:58 1461379258 0x9, A 58 2.48 2.59 0.33
2016-04-23_04:42:17 1461379337 0x9, 1 60 1.39 2.35 3.69
2016-04-23_04:42:18 1461379338 0x9, 2 60 1.48 2.07 2.40
2016-04-23_04:42:21 1461379341 0x9, 5 60 2.03 2.55 1.60
2016-04-23_04:42:22 1461379342 0x9, 6 60 2.55 2.64 0.21
2016-04-23_04:42:58 1461379378 0x9, A 59 1.84 2.59 2.44
2016-04-23_04:44:17 1461379457 0x9, 1 61 1.60 2.68 3.65
2016-04-23_04:44:18 1461379458 0x9, 2 61 2.24 2.11-0.38
