13 Apr 23:55:51 ntpdate[2384]: no server suitable for synchronization found
10 May 12:04:10 ntpdate[3316]: no server suitable for synchronization found
10 May 12:09:11 ntpdate[3490]: no server suitable for synchronization found
10 May 12:14:10 ntpdate[3672]: no server suitable for synchronization found
10 May 12:19:12 ntpdate[3874]: no server suitable for synchronization found
10 May 12:24:11 ntpdate[4048]: no server suitable for synchronization found
10 May 12:29:12 ntpdate[4230]: no server suitable for synchronization found
10 May 12:34:11 ntpdate[4403]: no server suitable for synchronization found
10 May 12:39:11 ntpdate[4597]: no server suitable for synchronization found
10 May 12:44:11 ntpdate[4779]: no server suitable for synchronization found
10 May 12:49:30 ntpdate[4953]: step time server 192.168.1.1 offset 20.988507 sec
10 May 12:50:09 ntpdate[5010]: adjust time server 192.168.1.1 offset -0.005504 sec
10 May 12:55:09 ntpdate[5183]: adjust time server 192.168.1.1 offset -0.031324 sec
10 May 13:00:08 ntpdate[5383]: adjust time server 192.168.1.1 offset -0.016158 sec
10 May 13:05:11 ntpdate[5558]: no server suitable for synchronization found
10 May 13:10:11 ntpdate[5731]: no server suitable for synchronization found
10 May 13:15:11 ntpdate[5913]: no server suitable for synchronization found
10 May 13:20:11 ntpdate[6115]: no server suitable for synchronization found
10 May 13:25:11 ntpdate[6288]: no server suitable for synchronization found
10 May 13:30:11 ntpdate[6469]: no server suitable for synchronization found
10 May 13:35:11 ntpdate[6642]: no server suitable for synchronization found
10 May 13:40:10 ntpdate[6834]: no server suitable for synchronization found
10 May 13:45:11 ntpdate[7016]: no server suitable for synchronization found
10 May 13:50:11 ntpdate[7190]: no server suitable for synchronization found
10 May 13:55:11 ntpdate[7363]: no server suitable for synchronization found
10 May 14:00:11 ntpdate[7625]: no server suitable for synchronization found
10 May 14:05:11 ntpdate[7798]: no server suitable for synchronization found
10 May 14:10:11 ntpdate[7971]: no server suitable for synchronization found
10 May 14:15:11 ntpdate[8152]: no server suitable for synchronization found
10 May 14:20:11 ntpdate[8354]: no server suitable for synchronization found
10 May 14:25:11 ntpdate[8526]: no server suitable for synchronization found
10 May 14:30:10 ntpdate[8709]: no server suitable for synchronization found
10 May 14:35:11 ntpdate[8882]: no server suitable for synchronization found
10 May 14:40:11 ntpdate[9074]: no server suitable for synchronization found
10 May 14:45:11 ntpdate[9257]: no server suitable for synchronization found
10 May 14:50:08 ntpdate[9431]: adjust time server 192.168.1.1 offset -0.079793 sec
10 May 14:55:08 ntpdate[9604]: adjust time server 192.168.1.1 offset 0.076202 sec
10 May 15:05:30 ntpdate[2596]: step time server 192.168.1.1 offset 21.144550 sec
10 May 15:10:09 ntpdate[2768]: adjust time server 192.168.1.1 offset 0.001533 sec
10 May 15:15:09 ntpdate[2942]: adjust time server 192.168.1.1 offset 0.000977 sec
10 May 15:20:11 ntpdate[3153]: adjust time server 192.168.1.1 offset 0.001071 sec
10 May 15:25:10 ntpdate[3328]: adjust time server 192.168.1.1 offset 0.001059 sec
10 May 15:30:09 ntpdate[3501]: adjust time server 192.168.1.1 offset 0.000899 sec
10 May 15:35:09 ntpdate[3683]: adjust time server 192.168.1.1 offset 0.001129 sec
10 May 15:40:09 ntpdate[3875]: adjust time server 192.168.1.1 offset 0.001070 sec
10 May 15:45:09 ntpdate[4049]: adjust time server 192.168.1.1 offset 0.001105 sec
10 May 15:50:09 ntpdate[4230]: adjust time server 192.168.1.1 offset 0.000938 sec
10 May 15:55:09 ntpdate[4403]: adjust time server 192.168.1.1 offset 0.001308 sec
10 May 16:00:09 ntpdate[4595]: adjust time server 192.168.1.1 offset 0.000627 sec
10 May 16:05:09 ntpdate[4777]: adjust time server 192.168.1.1 offset 0.001505 sec
10 May 16:10:11 ntpdate[4949]: no server suitable for synchronization found
10 May 16:15:11 ntpdate[5122]: no server suitable for synchronization found
10 May 16:20:10 ntpdate[5332]: no server suitable for synchronization found
10 May 16:25:11 ntpdate[5507]: no server suitable for synchronization found
10 May 16:30:11 ntpdate[5679]: no server suitable for synchronization found
10 May 16:35:10 ntpdate[5863]: no server suitable for synchronization found
10 May 16:40:10 ntpdate[6055]: no server suitable for synchronization found
10 May 16:45:11 ntpdate[6228]: no server suitable for synchronization found
10 May 16:50:09 ntpdate[6412]: step time server 192.168.1.1 offset -0.532365 sec
10 May 16:55:09 ntpdate[6585]: adjust time server 192.168.1.1 offset -0.082536 sec
10 May 17:00:09 ntpdate[6776]: adjust time server 192.168.1.1 offset 0.095122 sec
10 May 17:05:09 ntpdate[6958]: adjust time server 192.168.1.1 offset -0.042281 sec
