2016-05-24_04:57:32 1464058652 0x1 67;2,8,2,2,1,2,2,3,2,2,2,2,2,2,2,1,1,2,2,2,2,2,1,2,0-16ae,a0a-0:0/0;1:0/68;0:0/0;0:0/0;1:ed/6c;1:ef/6a;0:0/0;0:0/0;3:d3/53;0:0/0
2016-05-24_04:59:32 1464058772 0x1 68;3,2,2,1,2,0,2,2,2,3,2,2,3,0,1,2,1,2,1,2,1,2,2,1,6-16ad,a0c-0:0/0;1:0/6b;0:0/0;0:0/0;1:ef/6b;1:f0/69;0:0/0;0:0/0;4:d3/53;0:0/0
2016-05-24_05:01:32 1464058892 0x1 69;a,2,1,2,2,2,1,0,2,1,2,2,0,2,2,2,1,2,2,2,2,2,2,1,2-16ae,a0f-0:0/0;1:1/6c;0:0/0;0:0/0;1:ed/6b;1:f0/6a;0:0/0;0:0/0;5:d3/53;0:0/0
2016-05-24_05:03:32 1464059012 0x1 70;2,0,2,3,0,2,2,2,2,2,2,0,1,2,2,3,2,1,2,0,1,2,2,2,2-16af,a10-0:0/0;1:0/6b;0:0/0;0:0/0;1:ee/69;1:ef/6b;0:0/0;0:0/0;6:d3/53;0:0/0
2016-05-24_05:05:32 1464059132 0x1 71;2,2,1,3,2,2,2,1,0,2,2,1,2,2,2,2,2,2,2,2,2,1,2,1,2-16b2,a13-0:0/0;1:0/6b;0:0/0;0:0/0;1:ef/6c;1:f0/6a;0:0/0;0:0/0;0:d2/4e;0:0/0
2016-05-24_05:07:32 1464059252 0x1 72;2,3,2,2,8,1,2,2,0,2,2,2,2,2,0,2,2,1,2,2,2,1,2,2,1-16af,a0d-0:0/0;1:0/6a;0:0/0;0:0/0;1:ed/6a;1:ef/6b;0:0/0;0:0/0;0:d2/46;0:0/0
2016-05-24_05:09:32 1464059372 0x1 73;2,3,2,2,2,3,2,2,2,2,2,2,2,3,0,1,2,2,0,2,1,2,1,3,2-16b0,a0d-0:0/0;1:1/6a;0:0/0;0:0/0;1:ef/6c;1:f0/6b;0:0/0;0:0/0;1:d2/46;0:0/0
2016-05-24_05:11:32 1464059492 0x1 74;2,1,2,2,2,2,2,2,2,2,2,2,6,2,2,2,2,2,1,3,2,2,2,2,2-16ae,a0b-0:0/0;1:0/6a;0:0/0;0:0/0;1:ed/6b;1:f0/6a;0:0/0;0:0/0;0:d3/4f;0:0/0
2016-05-24_05:13:32 1464059612 0x1 75;1,2,2,2,2,2,0,2,1,1,2,2,3,3,2,2,2,2,2,2,2,8,2,3,2-16b0,a0c-0:0/0;1:0/6b;0:0/0;0:0/0;1:ed/6c;1:f0/6a;0:0/0;0:0/0;1:d3/4f;0:0/0
2016-05-24_05:15:32 1464059732 0x1 76;3,2,2,1,2,1,2,2,2,2,2,2,2,2,3,2,8,3,2,1,2,2,2,2,2-16ae,a0b-0:0/0;1:0/6a;0:0/0;0:0/0;1:ed/6c;1:ef/6b;0:0/0;0:0/0;2:d3/4f;0:0/0
